bord_id,pcode,exdate,numpers
2446,-1000,05Apr99,265
67642,-1000,05Apr99,70
2587,-1000,05Apr99,421
67462,-1000,05Apr99,10
2529,-1000,05Apr99,50
2746,-1000,05Apr99,97
2562,-1000,05Apr99,1078
2689,-1000,05Apr99,57
67758,-1000,05Apr99,35
2627,-1000,05Apr99,244
2678,-1000,05Apr99,115
2696,-1000,05Apr99,32
2336,-1000,05Apr99,32
2526,-1000,05Apr99,200
67441,-1000,05Apr99,1
2561,-1000,05Apr99,5
67886,-1000,05Apr99,25
67857,-1000,05Apr99,38
2429,-1000,05Apr99,12
2409,-1000,05Apr99,28
67870,-1000,05Apr99,26
2582,1006,05Apr99,5
2528,1006,05Apr99,12
67779,1006,05Apr99,21
67911,1006,05Apr99,7
67719,1006,05Apr99,13
67731,1006,05Apr99,23
2272,1006,05Apr99,16
67741,1006,05Apr99,27
67912,1006,05Apr99,21
67853,1006,05Apr99,16
67880,1006,05Apr99,18
2275,1006,05Apr99,10
67666,1006,05Apr99,8
67893,1006,05Apr99,5
67670,1006,05Apr99,21
67671,1006,05Apr99,14
67722,1006,05Apr99,36
2257,1006,05Apr99,13
2220,1006,05Apr99,12
67655,1006,05Apr99,10
2166,1006,05Apr99,16
2161,1006,05Apr99,25
67736,1006,05Apr99,27
67665,1006,05Apr99,7
2483,1006,05Apr99,37
67802,1006,05Apr99,11
2268,1006,05Apr99,9
2157,1006,05Apr99,18
67720,1006,05Apr99,32
2210,1006,05Apr99,19
2530,1006,05Apr99,15
2208,1006,05Apr99,12
2155,1006,05Apr99,35
2309,1006,05Apr99,5
2188,1006,05Apr99,7
67723,1006,05Apr99,24
2212,1006,05Apr99,20
2158,1006,05Apr99,21
2215,1006,05Apr99,17
67746,1006,05Apr99,28
2154,1006,05Apr99,16
2221,1006,05Apr99,14
67700,1006,05Apr99,13
2162,1006,05Apr99,19
67800,1006,05Apr99,13
2137,1006,05Apr99,7
67888,1006,05Apr99,5
2179,1006,05Apr99,4
2542,1006,05Apr99,28
67667,1006,05Apr99,4
67814,1006,05Apr99,12
67816,1006,05Apr99,12
2519,1006,05Apr99,140
67702,1006,05Apr99,1
2291,1006,05Apr99,10
2265,1006,05Apr99,20
67730,1006,05Apr99,33
67845,1006,05Apr99,25
67653,1006,05Apr99,22
2276,1006,05Apr99,11
67725,1006,05Apr99,7
67618,1006,05Apr99,26
67748,1006,05Apr99,10
67798,1006,05Apr99,64
67728,1006,05Apr99,12
2182,1006,05Apr99,25
67848,1006,05Apr99,20
2543,1006,05Apr99,20
